Column Name / Sheet Name,Column Description,Source,Source Name,Information Sourced,Convention,Convention Meaning
cvss3_attackvector,The CVE's CVSS v3 attack vector.,https://www.wikipedia.org/,Wikipedia,Population Data,,
cvss3_attackcomplexity,The CVE's conditions that are beyond the attacker's control which must exist in order to exploit the CVE.,https://www.h2020smile.eu/,Smile,Population Data,,
cvss3_privilegesrequired,The level of privileges that the attacker must possess before being able to successfully exploit the CVE.,https://www.un.org/en/,United Nations,Population Data,,
cvss3_userinteraction,"Whether or not a user, other than the attacker, must perform a specific activity to allow the attacker to successfully exploit the CVE.",https://www.abs.gov.au/,Australian Bureau of Statistics,Population Data,,
cvss3_scope,Whether or not the CVE will impact resources beyond it's means or privileges.,https://www.ssb.no/en,Statistics Norway,Population Data,,
cvss3_confidentiality,Measures the impact on the confidentiality of the data if the CVE was successfully exploited.,https://www.livepopulation.com/,Population of the world,Population Data,,
cvss3_integrity,Measures the impact on the integrity of the data if the CVE was successfully exploited.,https://www.indexmundi.com/,index mundi,Population Data,,
cvss3_availability,Measures the impact on the availability of the data if the CVE was successfully exploited.,,,,,
cvss2_basescore,The CVE's CVSS v2 base score.,,,,,
cvss2_severity,The CVE's CVSS v2 severity level.,,,,,
cvss2_impactscore,The CVE's CVSS v2 impact score.,,,,,
cvss2_exploitabilityscore,The CVE's CVSS v2 exploitability score.,,,,,
cvss2_attackvector,The CVE's CVSS v2 attack vector.,,,,,
cvss2_attackcomplexity,The CVE's CVSS v2 access complexity.,,,,,
cvss2_authentication,The CVE's CVSS v2 authentication.,,,,,
cvss2_confidentiality,The CVE's CVSS v2 confidentiality.,,,,,
cvss2_integrity,The CVE's CVSS v2 integrity.,,,,,
cvss2_availability,The CVE's CVSS v2 availability.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
operating-systems.csv,The worksheet that contains all the information regarding the Operating Systems that are vulnerable to our list of CVEs.,,,,,
operating_system,The name of the operating system that is vulnerable to one or more specific CVEs.,,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
totalcount,The number of the total vulnerable devices running the specific OS according to Shodan.io.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
cities.csv,The worksheet that contains all the information regarding the cities that are vulnerable to our list of CVEs.,,,,,
city,The name of the city.,,,,,
population_2020,The number of people living in that specific city.,,,,,
population_source,"The source where the population data found in the column ""population_2020"" was taken from.",,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
totalcount,The number of the devices in the specific city that is vulnerable to our specific CVEs according to Shodan.io.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
smart-cities.csv,The worksheet that contains all the information regarding the smart cities that are vulnerable to our list of CVEs.,,,,,
smart_city,The name of the smart city.,,,,,
population_2020,The number of people living in that specific city.,,,,,
population_source,"The source where the population data found in the column ""population_2020"" was taken from.",,,,,
overall_rating,"The overall numeric rating number for the specific smart city. (AAA = 10, AA = 9, A = 8, BBB = 7, BB = 6, B = 5, CCC = 4, CC = 3, C = 2, D =1).",,,,,
overall_ranking,The overall ranking for the specific smart city.,,,,,
smartcity_source,The source where the information regarding the smart cities and their ratings / rankings were taken from.,,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
totalcount,The number of the devices in the specific smart city that is vulnerable to our specific CVEs according to Shodan.io.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
countries.csv,The worksheet that contains all the information regarding the countries that are vulnerable to our list of CVEs.,,,,,
country_code,The 2 letters that are assigned to represent a specific country using ISO 3166-1 alpha-2 codes.,,,,,
country,The name of the country.,,,,,
population_2020,The number of people living in that specific country.,,,,,
population_source,"The source where the population data found in the column ""population_2020"" was taken from.",,,,,
gini_value,The specific country's gini coefficient value.,,,,,
gini_year,The specific country's gini coefficient year.,,,,,
gini_source,The source where the countries gini information was sourced from.,,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
totalcount,The number of the devices in the specific country that is vulnerable to our specific CVEs according to Shodan.io.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
ports.csv,The worksheet that contains all the information regarding the ports opened on devices that are vulnerable to our list of CVEs.,,,,,
port,A String version of the integer port number for data analytics purposes.,,,,,
port_number,The port number.,,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
totalcount,The number of the devices that have the specific port opened that is vulnerable to our specific CVEs according to Shodan.io.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
tags.csv,The worksheet that contains all the information regarding the tags assigned to the devices that are vulnerable to our list of CVEs.,,,,,
shodan_tag,The tag that is associated with our specific CVEs to help make the devices vulnerable more identifiable.,,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
totalcount,The number of the devices that have the specific tag associated with our specific CVEs according to Shodan.io.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
products.csv,The worksheet that contains all the information regarding the products and services that are vulnerable to our list of CVEs.,,,,,
shodan_product,The product or service that is vulnerable to our specific CVEs.,,,,,
description,A one word description defining what the service or product is or does.,,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
totalcount,The number of the products or services that are vulnerable to our pecific CVEs according to Shodan.io.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
devices.csv,The worksheet that contains all the information regarding the device types that are vulnerable to our list of CVEs.,,,,,
shodan_device,The type of device that is vulnerable to our specific CVEs.,,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
totalcount,The number of the type of devices that are vulnerable to our pecific CVEs according to Shodan.io.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
--------------------------------------,-----------------------------------------------------------------------------------------------------------------------------,,,,,
weekly-numbers.csv,The worksheet that contains fortnightly captured information on the number of devices vulnerable to our specific CVEs.,,,,,
capture_date,The date that the specific piece of information is captured.,,,,,
vulnerabilities,The next 300+ rows are the specific CVEs starting from CVE-2017-1000369 to MS17-010.,,,,,
