vulnerability,capture_date,totalcount,exploit_source,exploit_type,exploit_platform,exploit_vendor,exploit_attack,cwe,cpe,vulnerable_cities,vulnerable_services,cvss_source,cvss3_basescore,cvss3_severity,cvss3_impactscore,cvss3_exploitabilityscore,cvss3_attackvector,cvss3_attackcomplexity,cvss3_privilegesrequired,cvss3_userinteraction,cvss3_scope,cvss3_confidentiality ,cvss3_integrity,cvss3_availability,cvss2_basescore,cvss2_severity,cvss2_impactscore,cvss2_exploitabilityscore,cvss2_attackvector,cvss2_attackcomplexity,cvss2_authentication,cvss2_confidentiality ,cvss2_integrity,cvss2_availability
CVE-2017-16510,11/14/2020,1394,NVD,"remote,webapps",Wordpress,Wordpress,SQL injection,89,cpe:2.3:a:wordpress:wordpress:*:*:*:*:*:*:*:*,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,nginx,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-16633,11/14/2020,18,NVD,"remote,webapps",Joomla!,Joomla,Information Disclosure,200,cpe:2.3:a:joomla:joomla\!:*:*:*:*:*:*:*:*,Mumbai,"Apache httpd,nginx,Microsoft IIS httpd",NVD,4.3,MEDIUM,1.4,2.8,Network,Low,Low,None,Unchanged,Low,None,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-16634,11/14/2020,84,NVD,"remote,webapps",Joomla!,Joomla,Unauthorised Access,287,cpe:2.3:a:joomla:joomla\!:*:*:*:*:*:*:*:*,"Amsterdam,Mumbai","Apache httpd,nginx,Microsoft IIS httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-16642,11/14/2020,2798183,NVD,"remote,webapps",PHP,php,Memory Leak,125,"cpe:2.3:a:php:php:*:*:*:*:*:*:*:*,cpe:2.3:a:php:php:*:*:*:*:*:*:*:*,cpe:2.3:a:php:php:*:*:*:*:*:*:*:*,cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*,cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*,cpe:2.3:o:canonical:ubuntu_linux:14.04:*:*:*:lts:*:*:*,cpe:2.3:a:netapp:storage_automation_store:-:*:*:*:*:*:*:*,cpe:2.3:o:netapp:clustered_data_ontap:-:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,nginx,lighttpd,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-16944,11/14/2020,86184,NVD,"remote,dos",Exim,Exim,Denial of Service,835,"cpe:2.3:a:exim:exim:4.88:*:*:*:*:*:*:*,cpe:2.3:a:exim:exim:4.89:*:*:*:*:*:*:*,cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal",PostgreSQL,NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-17091,11/14/2020,509,NVD,"remote,webapps",Wordpress,Wordpress,Unauthorised Access,330,cpe:2.3:a:wordpress:wordpress:*:*:*:*:*:*:*:*,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Montreal","Apache httpd,nginx,Microsoft IIS httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,6.5,MEDIUM,6.4,8,Network,Low,Single,Partial,Partial,Partial
CVE-2017-17663,11/14/2020,9,NVD,"remote,webapps",thttpd,acme,"Buffer Overflow,Code Execution",119,cpe:2.3:a:acme:mini_httpdcpe:2.3:a:acme:thttpd,,,NVD,9.8,CRITICAL,5.1,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-3167,11/14/2020,3572244,SecurityFocus,"remote,webapps",Apache HTTP Server,Apache,Unauthorised Access,287,"cpe:2.3:a:apache:http_server:2.2.0:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.2:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.3:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.11:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.12:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.13:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.14:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.15:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.16:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.17:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.18:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.19:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.20:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.21:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.22:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.23:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.24:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.25:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.26:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.27:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.29:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.30:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.31:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.32:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.1:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.2:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.10:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.12:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.16:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.17:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.18:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.20:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.23:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.25:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal",Apache httpd,NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
CVE-2017-3169,11/14/2020,3572254,SecurityFocus,"remote,dos,webapps",Apache HTTP Server,Apache,Denial of Service,476,"cpe:2.3:a:apache:http_server:2.2.0:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.2:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.3:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.11:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.12:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.13:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.14:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.15:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.16:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.17:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.18:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.19:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.20:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.21:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.22:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.23:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.24:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.25:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.26:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.27:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.29:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.30:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.31:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.2.32:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.1:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.2:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.10:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.12:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.16:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.17:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.18:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.20:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.23:*:*:*:*:*:*:*,cpe:2.3:a:apache:http_server:2.4.25:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal",Apache httpd,NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
CVE-2017-3239,11/14/2020,513,NVD,remote,Oracle GlassFish Server,Oracle,Information Disclosure,200,"cpe:2.3:a:oracle:glassfish_server:3.0.1:*:*:*:*:*:*:*,cpe:2.3:a:oracle:glassfish_server:3.1.2:*:*:*:*:*:*:*","London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris",,NVD,3.3,LOW,1.4,1.8,Local,Low,Low,None,Unchanged,Low,None,None,2.1,LOW,2.9,3.9,Local,Low,None,Partial,None,None
CVE-2017-3247,11/14/2020,513,NVD,remote,Oracle Glassfish Server,Oracle,Unauthorised Access,noinfo,"cpe:2.3:a:oracle:glassfish_server:2.1.1:*:*:*:*:*:*:*,cpe:2.3:a:oracle:glassfish_server:3.0.1:*:*:*:*:*:*:*,cpe:2.3:a:oracle:glassfish_server:3.1.2:*:*:*:*:*:*:*","London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris",,NVD,4.3,MEDIUM,1.4,2.8,Network,Low,None,Required,Unchanged,None,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-3249,11/14/2020,513,NVD,"remote,dos",Oracle Glassfish Server,Oracle,"Unauthorised Access,Denial of Service",noinfo,"cpe:2.3:a:oracle:glassfish_server:2.1.1:*:*:*:*:*:*:*,cpe:2.3:a:oracle:glassfish_server:3.0.1:*:*:*:*:*:*:*,cpe:2.3:a:oracle:glassfish_server:3.1.2:*:*:*:*:*:*:*","London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris",,NVD,7.3,HIGH,3.4,3.9,Network,Low,None,None,Unchanged,Low,Low,Low,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-3250,11/14/2020,513,NVD,"remote,dos",Oracle Glassfish Server,Oracle,"Unauthorised Access,Denial of Service",200,"cpe:2.3:a:oracle:glassfish_server:2.1.1:*:*:*:*:*:*:*,cpe:2.3:a:oracle:glassfish_server:3.0.1:*:*:*:*:*:*:*,cpe:2.3:a:oracle:glassfish_server:3.1.2:*:*:*:*:*:*:*","London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris",,NVD,7.3,HIGH,3.4,3.9,Network,Low,None,None,Unchanged,Low,Low,Low,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-3626,11/14/2020,513,NVD,remote,Oracle Glassfish Server,Oracle,Unauthorised Access,noinfo,cpe:2.3:a:oracle:glassfish_server:3.1.2:*:*:*:*:*:*:*,"London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris",,NVD,3.1,LOW,1.4,1.6,Network,High,None,Required,Unchanged,Low,None,None,2.6,LOW,2.9,4.9,Network,High,None,Partial,None,None
CVE-2017-3730,11/14/2020,16,Shodan.io,dos,OpenSSL,Openssl,Denial of Service,476,"cpe:2.3:a:openssl:openssl:1.1.0:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0c:*:*:*:*:*:*:*",,Apache httpd,NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-3731,11/14/2020,66364,"NVD,SecurityFocus","remote,dos",OpenSSL,Openssl,Denial of Service,125,"cpe:2.3:a:openssl:openssl:1.1.0a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta1:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta2:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta3:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2d:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2e:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2f:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2h:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2i:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2j:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,MongoDB",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-3732,11/14/2020,30297,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Information Disclosure,200,"cpe:2.3:a:openssl:openssl:1.0.2:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta1:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta2:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta3:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2d:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2e:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2f:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2h:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2i:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0c:*:*:*:*:*:*:*,","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,MongoDB",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2017-3735 ,11/14/2020,974827,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Unauthorised Access,119,"cpe:2.3:a:openssl:openssl:0.9.7j:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.7k:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.7l:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.7m:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8d:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8e:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8f:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8g:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8h:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8i:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8j:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8k:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8l:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8m:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8m:beta1:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8n:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8o:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8p:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8q:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8r:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8s:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8t:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8u:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8v:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8w:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8x:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8y:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8z:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8za:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8zb:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8zc:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8ze:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:0.9.8zg:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0:beta1:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0:beta2:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0:beta3:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0:beta4:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0:beta5:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0d:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0e:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0f:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0g:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0h:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0i:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0j:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0k:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0l:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0m:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0n:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0o:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0p:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0q:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0r:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.0s:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1:beta1:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1:beta2:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1:beta3:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1d:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1e:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1f:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1g:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1h:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1i:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1j:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1k:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.1l:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta1:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta2:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2:beta3:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2d:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2e:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2f:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2h:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2i:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2j:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2k:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2l:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0a:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0d:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0e:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.1.0f:*:*:*:*:*:*:*,cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*,cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,Microsoft IIS httpd,MongoDB",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,None,Low,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-3736,11/14/2020,714750,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Information Disclosure,200,"cpe:2.3:a:openssl:openssl:*:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:*:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,MongoDB",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,High,None,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-3737 ,11/14/2020,712566,"NVD,SecurityFocus",remote,OpenSSL,Openssl,Unauthorised Access,"125,787","cpe:2.3:a:openssl:openssl:1.0.2b:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2c:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2d:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2e:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2f:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2g:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2h:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2i:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2j:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2k:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2l:*:*:*:*:*:*:*,cpe:2.3:a:openssl:openssl:1.0.2m:*:*:*:*:*:*:*,cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache httpd,MongoDB",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
