vulnerability,capture_date,totalcount,exploit_source,exploit_type,exploit_platform,exploit_vendor,exploit_attack,vulnerable_cities,vulnerable_services,cvss_source,cvss3_basescore,cvss3_severity,cvss3_impactscore,cvss3_exploitabilityscore,cvss3_attackvector,cvss3_attackcomplexity,cvss3_privilegesrequired,cvss3_userinteraction,cvss3_scope,cvss3_confidentiality ,cvss3_integrity,cvss3_availability,cvss2_basescore,cvss2_severity,cvss2_impactscore,cvss2_exploitabilityscore,cvss2_attackvector,cvss2_attackcomplexity,cvss2_authentication,cvss2_confidentiality ,cvss2_integrity,cvss2_availability
CVE-2017-12934,10/22/2020,96451,SecurityFocus,"remote,webapps",PHP,php,Buffer Overflow,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,High,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-14595,10/22/2020,15,"NVD,SecurityFocus","remote,webapps",Joomla!,Joomla,Information Disclosure,Mumbai,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,3.7,LOW,1.4,2.2,Network,High,None,None,Unchanged,Low,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2017-14596,10/22/2020,246,NVD,"remote,webapps",Joomla!,Joomla,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,5,MEDIUM,2.9,10,Network,Insufficient_Info,None,Partial,None,None
CVE-2017-14718,10/22/2020,1182,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-14719,10/22/2020,44558,NVD,"remote,webapps",Wordpress,Wordpress,Directory Traversal,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Insufficient_info,None,Partial,None,None
CVE-2017-14720,10/22/2020,1182,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-14721,10/22/2020,1182,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-14722,10/22/2020,7735,NVD,"remote,webapps",Wordpress,Wordpress,Directory Traversal,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Insufficient_info,None,Partial,None,None
CVE-2017-14723,10/22/2020,1182,NVD,"remote,webapps",Wordpress,Wordpress,SQL injection,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-14724,10/22/2020,1182,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-14725,10/22/2020,1182,NVD,"remote,webapps",Wordpress,Wordpress,Redirect,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.4,MEDIUM,2.7,2.3,Network,Low,Low,Required,Changed,Low,Low,None,4.9,MEDIUM,4.9,6.8,Network,Medium,Single,Partial,Partial,None
CVE-2017-14726,10/22/2020,1182,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-14798,10/22/2020,106469,Shodan.io,local,PostgreSQL,Postgresql,Privilege Escalation,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-14990,10/22/2020,1059,NVD,"remote,webapps",Wordpress,Wordpress,Hijacking,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,High,None,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-15098,10/22/2020,388093,NVD,"remote,dos",PostgreSQL,Postgresql,"Denial of Service,Information Disclosure","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.1,HIGH,5.2,2.8,Network,Low,Low,None,Unchanged,High,None,High,5.5,MEDIUM,4.9,8,Network,Low,Single,Partial,None,Partial
CVE-2017-15099,10/22/2020,107490,NVD,"remote,local",PostgreSQL,Postgresql,"Information Disclosure,Privilege Escalation","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,High,None,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-15130,10/22/2020,848,NVD,"remote,dos",Dovecot ,Dovecot,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,None,None,High,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,None,Partial
CVE-2017-15132,10/22/2020,848,NVD,"remote,dos",Dovecot ,Dovecot,"Memory Leak,Denial of Service","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Insufficient_info,None,None,None,Partial
CVE-2017-15710,10/22/2020,4910636,"NVD,SecurityFocus","remote,dos,webapps",Apache HTTP Server,Apache,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-15715,10/22/2020,4911160,"NVD,SecurityFocus","remote,webapps",Apache HTTP Server,Apache,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.1,HIGH,5.9,2.2,Network,High,None,None,Unchanged,High,High,High,6.8,MEDIUM,6.4,8.6,Network,Medium,None,Partial,Partial,Partial
CVE-2017-15906,10/22/2020,7203723,"NVD,SecurityFocus",remote,OpenSSH,Openbsd,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,None,Low,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-16510,10/22/2020,1059,NVD,"remote,webapps",Wordpress,Wordpress,SQL injection,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-16633,10/22/2020,19,NVD,"remote,webapps",Joomla!,Joomla,Information Disclosure,Mumbai,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4.3,MEDIUM,1.4,2.8,Network,Low,Low,None,Unchanged,Low,None,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2017-16634,10/22/2020,73,NVD,"remote,webapps",Joomla!,Joomla,Unauthorised Access,"Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-16642,10/22/2020,2823814,NVD,"remote,webapps",PHP,php,Memory Leak,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-16944,10/22/2020,86597,NVD,"remote,dos",Exim,Exim,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-17091,10/22/2020,423,NVD,"remote,webapps",Wordpress,Wordpress,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,6.5,MEDIUM,6.4,8,Network,Low,Single,Partial,Partial,Partial
CVE-2017-17663,10/22/2020,11,NVD,"remote,webapps",thttpd,acme,"Buffer Overflow,Code Execution",,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.1,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-3167,10/22/2020,3623034,SecurityFocus,"remote,webapps",Apache HTTP Server,Apache,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
CVE-2017-3169,10/22/2020,3623042,SecurityFocus,"remote,dos,webapps",Apache HTTP Server,Apache,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Insufficient_info,None,Partial,Partial,Partial
CVE-2017-3239,10/22/2020,531,NVD,remote,Oracle GlassFish Server,Oracle,Information Disclosure,"London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,3.3,LOW,1.4,1.8,Local,Low,Low,None,Unchanged,Low,None,None,2.1,LOW,2.9,3.9,Local,Low,None,Partial,None,None
CVE-2017-3247,10/22/2020,531,NVD,remote,Oracle Glassfish Server,Oracle,Unauthorised Access,"London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4.3,MEDIUM,1.4,2.8,Network,Low,None,Required,Unchanged,None,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-3249,10/22/2020,531,NVD,"remote,dos",Oracle Glassfish Server,Oracle,"Unauthorised Access,Denial of Service","London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.3,HIGH,3.4,3.9,Network,Low,None,None,Unchanged,Low,Low,Low,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-3250,10/22/2020,531,NVD,"remote,dos",Oracle Glassfish Server,Oracle,"Unauthorised Access,Denial of Service","London,Dublin,Singapore,Amsterdam,Sydney,Mumbai,Paris","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.3,HIGH,3.4,3.9,Network,Low,None,None,Unchanged,Low,Low,Low,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
