capec,name,domains_of_attack,mechanisms_of_attack,attack_likelihood,typical_severity,skills_required,consequences_confidentiality,consequences_integrity,consequences_availability,consequences_access_control,consequences_authorization,consequences_accountability,consequences_authentication,consequences_non_repudiation,linked_att&ck_tech_id,linked_att&ck_sub_tech_id,linked_att&ck_tactics
46,Overflow Variables and Tags,Software,"Manipulate Data Structures,Inject Unexpected Items",High,High,"Low,High","Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data","Unreliable Execution,Execute Unauthorized Commands",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47,Buffer Overflow via Parameter Expansion,Software,"Manipulate Data Structures,Inject Unexpected Items",Medium,High,High,"Gain Privileges,Execute Unauthorized Commands,Read Data","Modify Data,Execute Unauthorized Commands","Unreliable Execution,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
48,Passing Local Filenames to Functions That Expect a URL,Software,"Abuse Existing Functionality",High,High,Medium,Read Data,Modify Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,Password Recovery Exploitation,Software,"Abuse Existing Functionality",Medium,High,"Low,Medium",Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
51,Poison Web Service Registry,Software,Manipulate System Resources,High,Very High,Low,"Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,Embedding NULL Bytes,Software,Manipulate System Resources,High,High,"Medium,High","Read Data,Gain Privileges,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
53,"Postfix, Null Terminate, and Backslash",Software,Manipulate Data Structures,High,High,Medium,"Read Data,Gain Privileges","Modify Data,Execute Unauthorized Commands",N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
54,Query System for Information,"Hardware,Software",Collect and Analyze Information,High,Low,Medium,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Utilizing REST's Trust in the System Resource to Obtain Sensitive Data,"Software,Communications",Collect and Analyze Information,Medium,Very High,Low,Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
58,Restful Privilege Elevation,Software,Subvert Access Control,High,High,Low,Gain Privileges,Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
59,Session Credential Falsification through Prediction,Software,Subvert Access Control,High,High,"Low,Medium",Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
60,Reusing Session IDs (aka Session Replay),Software,Subvert Access Control,High,High,"Low,Medium",Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,"T1134,T1550","T1134.002,T1134.003,T1550.004","TA0005,TA0004,TA0008"
61,Session Fixation,Software,Subvert Access Control,Medium,High,Low,Gain Privileges,N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
62,Cross Site Request Forgery,Software,Subvert Access Control,High,Very High,Medium,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
63,Cross-Site Scripting (XSS),Software,Inject Unexpected Items,High,Very High,"Low,High","Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,Using Slashes and URL Encoding Combined to Bypass Validation Logic,Software,Manipulate Data Structures,High,High,"Low,Medium","Execute Unauthorized Commands,Read Data,Gain Privileges","Execute Unauthorized Commands,Modify Data","Resource Consumption,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
65,Sniff Application Code,"Software,Communications",Collect and Analyze Information,Low,High,Medium,"Read Data,Gain Privileges",N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
66,SQL Injection,Software,Inject Unexpected Items,High,High,Low,"Read Data,Execute Unauthorized Commands,Gain Privileges","Modify Data,Execute Unauthorized Commands",N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
67,String Format Overflow in syslog(),Software,Manipulate Data Structures,High,Very High,N/A,"Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unreliable Execution",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
71,Using Unicode Encoding to Bypass Validation Logic,Software,Manipulate Data Structures,Medium,High,Medium,"Bypass Protection Mechanism,Execute Unauthorized Commands","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unreliable Execution",Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
72,URL Encoding,Software,Manipulate Data Structures,High,High,"Low,Medium","Read Data,Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data","Resource Consumption,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
73,User-Controlled Filename,Software,Manipulate System Resources,High,High,"Low,Medium,High","Gain Privileges,Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Alter Execution Logic",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
76,Manipulating Web Input to File System Calls,Software,Manipulate System Resources,High,Very High,Low,Gain Privileges,"Modify Data,Execute Unauthorized Commands",N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
77,Manipulating User-Controlled Variables,Software,Subvert Access Control,High,Very High,"Low,Medium","Execute Unauthorized Commands,Read Data,Gain Privileges","Modify Data,Execute Unauthorized Commands",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
78,Using Escaped Slashes in Alternate Encoding,Software,Manipulate Data Structures,High,High,"Low,Medium","Read Data,Execute Unauthorized Commands.Bypass Protection Mechanism","Execute Unauthorized Commands,Modify Data","Resource Consumption,Execute Unauthorized Commands",Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
79,Using Slashes in Alternate Encoding,Software,Manipulate Data Structures,High,High,"Low,Medium","Read Data,Execute Unauthorized Commands,Gain Privileges","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
80,Using UTF-8 Encoding to Bypass Validation Logic,Software,Manipulate Data Structures,High,High,"Low,Medium","Bypass Protection Mechanism,Execute Unauthorized Commands","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unreliable Execution",Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
81,Web Logs Tampering,"Hardware,Software",Manipulate System Resources,Medium,High,Low,N/A,Modify Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83,XPath Injection,Software,Inject Unexpected Items,High,High,Low,"Gain Privileges,Read Data",N/A,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
84,XQuery Injection,Software,Inject Unexpected Items,High,Very High,Low,"Read Data,Gain Privileges,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
85,AJAX Footprinting,Software,Collect and Analyze Information,High,Low,Medium,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,Forceful Browsing,Software,Subvert Access Control,High,High,Low,"Read Data,Bypass Protection Mechanism",N/A,N/A,Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
88,OS Command Injection,Software,Inject Unexpected Items,High,High,High,"Execute Unauthorized Commands,Gain Privileges,Bypass Protection Mechanism,Read Data",Execute Unauthorized Commands,Execute Unauthorized Commands,Bypass Protection Mechanism,Bypass Protection Mechanism,N/A,N/A,N/A,N/A,N/A,N/A
92,Forced Integer Overflow,Software,Manipulate Data Structures,High,High,"Low,High","Gain Privileges,Execute Unauthorized Commands,Read Data","Modify Data,Execute Unauthorized Commands","Execute Unauthorized Commands,Unreliable Execution",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
94,Man in the Middle Attack,"Software,Communications",Subvert Access Control,High,Very High,Medium,"Gain Privileges,Read Data",Modify Data,N/A,Gain Privileges,Gain Privileges,N/A,N/A,N/A,T1185,N/A,TA0009
97,Cryptanalysis,"Hardware,Communications",Collect and Analyze Information,Low,Very High,High,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100,Overflow Buffers,Software,Manipulate Data Structures,High,Very High,"Low,High","Execute Unauthorized Commands,Gain Privileges",Execute Unauthorized Commands,"Unreliable Execution,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
101,Server Side Include (SSI) Injection,Software,Inject Unexpected Items,High,High,Medium,"Read Data,Execute Unauthorized Commands",Execute Unauthorized Commands,Execute Unauthorized Commands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,Session Sidejacking,Software,Subvert Access Control,High,High,Low,"Gain Privileges,Read Data",Modify Data,Unreliable Execution,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
104,Cross Zone Scripting,Software,Subvert Access Control,Medium,High,Medium,"Read Data,Gain Privileges,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
105,HTTP Request Splitting,"Software,Communications",Abuse Existing Functioanlity,Medium,High,Medium,"Execute Unauthorized Commands,Gain Privileges,Read Data","Execute Unauthorized Commands,Modify Data",Execute Unauthorized Commands,Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
108,Command Line Execution through SQL Injection,Software,Inject Unexpected Items,Low,Very High,High,"Read Data,Gain Privileges,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands","Unreliable Execution,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
109,Object Relational Mapping Injection,Software,Inject Unexpected Items,Low,High,Medium,"Read Data,Gain Privileges,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands","Unreliable Execution,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
110,SQL Injection through SOAP Parameter Tampering,Software,Inject Unexpected Items,High,Very High,"Medium,High","Read Data,Gain Privileges,Execute Unauthorized Commands","Modify Data,Execute Unauthorized Commands","Unreliable Execution,Execute Unauthorized Commands",Gain Privileges,Gain Privileges,N/A,N/A,N/A,N/A,N/A,N/A
111,JSON Hijacking (aka JavaScript Hijacking),Software,Abuse Existing Functioanlity,High,High,Medium,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
112,Brute Force,Software,Employ Probabilistic Techniques,N/A,High,Low,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114,Authentication Abuse,"Hardware,Software",Subvert Access Control,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
115,Authentication Bypass,Software,Subvert Access Control,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,Excavation,"Hardware,Software,Physical Security",Collect and Analyze Information,High,Medium,N/A,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
120,Double Encoding,Software,Manipulate Data Structures,Low,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
122,Privilege Abuse,"Hardware,Software",Subvert Access Control,High,Medium,Low,Read Data,Modify Data,N/A,Bypass Protection Mechanism,"Execute Unauthorized Commands,Gain Privileges,Bypass Protection Mechanism",N/A,N/A,N/A,N/A,N/A,N/A
123,Buffer Manipulation,Software,Manipulate Data Structures,High,Very High,N/A,"Execute Unauthorized Commands,Modify Data,Read Data",N/A,Unreliable Execution,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
125,Flooding,"Software,Communications",Abuse Existing Functioanlity,High,Medium,N/A,N/A,N/A,"Unreliable Execution,Resource Consumption",N/A,N/A,N/A,N/A,N/A,T1498,T1498.001,TA0040
126,Path Traversal,Software,Manipulate Data Structures,High,Very High,"Low,Medium","Execute Unauthorized Commands,Read Data","Execute Unauthorized Commands,Modify Data","Execute Unauthorized Commands,Unreliable Execution",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
127,Directory Indexing,"Hardware,Software",Collect and Analyze Information,High,Medium,"Low,High",Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1083,N/A,TA0007
130,Excessive Allocation,"Software,Communications",Abuse Existing Functioanlity,Medium,Medium,N/A,N/A,N/A,Resource Consumption,N/A,N/A,N/A,N/A,N/A,T1499,T1499.003,TA0040
131,Resource Leak Exposure,Software,Abuse Existing Functioanlity,Medium,Medium,N/A,N/A,N/A,"Unreliable Execution,Resource Consumption",N/A,N/A,N/A,N/A,N/A,T1499,T1499.004,TA0040
132,Symlink Attack,Software,Engage in Deceptive Interactions,Low,High,"Low,High","Other,Read Data",Modify Data,Unreliable Execution,Bypass Protection Mechanism,"Execute Unauthorized Commands,Gain Privileges,Bypass Protection Mechanism",Gain Privileges,Gain Privileges,Gain Privileges,T1547,T1547.009,"TA0003,TA0004"
135,Format String Injection,Software,Inject Unexpected Items,High,High,High,Read Data,"Modify Data,Execute Unauthorized Commands",N/A,"Gain Privileges,Bypass Protection Mechanism",N/A,N/A,N/A,N/A,N/A,N/A,N/A
136,LDAP Injection,Software,Inject Unexpected Items,High,High,Medium,Read Data,Modify Data,Unreliable Execution,Bypass Protection Mechanism,"Execute Unauthorized Commands,Gain Privileges,Bypass Protection Mechanism",Gain Privileges,Gain Privileges,Gain Privileges,N/A,N/A,N/A
147,XML Ping of the Death,Software,Abuse Existing Functioanlity,Low,Medium,"Low,High",N/A,N/A,Resource Consumption,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
150,Collect Data from Common Resource Locations,"Hardware,Software,Physical Security",Collect and Analyze Information,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1114,T1114.001,TA0009
151,Identity Spoofing,"Software,Communications,Social Engineering",Engage in Deceptive Interactions,Medium,Medium,N/A,Gain Privileges,Gain Privileges,N/A,Gain Privileges,N/A,N/A,Gain Privileges,N/A,N/A,N/A,N/A
153,Input Data Manipulation,Software,Manipulate Data Structures,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
157,Sniffing Attacks,"Software,Communications",Collect and Analyze Information,N/A,Medium,N/A,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
158,Sniffing Network Traffic,"Software,Communications",Collect and Analyze Information,N/A,Medium,Low,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1040,N/A,"TA0006,TA0007"
159,Redirect Access to Libraries,Software,Engage in Deceptive Interactions,High,Very High,"Low,Medium,High",N/A,N/A,N/A,Bypass Protection Mechanism,"Execute Unauthorized Commands,Bypass Protection Mechanism",N/A,N/A,N/A,T1574,T1574.006,"TA0003,TA0004,TA0005"
166,Force the System to Reset Values,"Hardware,Software",Manipulate Data Structures,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
169,Footprinting,"Software,Communications",Collect and Analyze Information,High,Very Low,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1217,N/A,TA0007
175,Code Inclusion,Software,Inject Unexpected Items,Medium,Very High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
177,Create files with the same name as files protected with a higher classification,"Hardware,Software",Subvert Access Control,N/A,Very High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1036,N/A,TA0005
180,Exploiting Incorrectly Configured Access Control Security Levels,"Hardware,Software",Subvert Access Control,High,Medium,Low,Read Data,Modify Data,Unreliable Execution,Bypass Protection Mechanism,"Execute Unauthorized Commands,Gain Privileges,Bypass Protection Mechanism",N/A,N/A,N/A,N/A,N/A,N/A
182,Flash Injection,"Software,Social Engineering",Inject Unexpected Items,High,Medium,Medium,"Other,Read Data",Modify Data,N/A,Bypass Protection Mechanism,"Execute Unauthorized Commands,Gain Privileges,Bypass Protection Mechanism",Gain Privileges,Gain Privileges,Gain Privileges,N/A,N/A,N/A
194,Fake the Source of Data,"Software,Social Engineering",Engage in Deceptive Interactions,N/A,Medium,N/A,N/A,"Alter Execution Logic,Gain Privileges,Hide Activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
196,Session Credential Falsification through Forging,Software,Subvert Access Control,Medium,Medium,Medium,Read Data,Modify Data,N/A,Bypass Protection Mechanism,"Execute Unauthorized Commands,Gain Privileges,Bypass Protection Mechanism",Gain Privileges,Gain Privileges,Gain Privileges,N/A,N/A,N/A
197,XML Entity Expansion,Software,Abuse Existing Functionality,High,Medium,Low,N/A,N/A,"Unreliable Execution,Resource Consumption",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,Serialized Data External Linking,"Software,Communications",Abuse Existing Functionality,High,High,Low,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204,Lifting Sensitive Data Embedded in Cache,"Hardware,Software,Physical Security",Collect and Analyze Information,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
206,Signing Malicious Code,Software,Subvert Access Control,N/A,Very High,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,T1553,T1553.002,TA0005
209,XSS Using MIME Type Mismatch,Software,Inject Unexpected Items,N/A,Medium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
215,Fuzzing for application mapping,"Hardware,Software","Employ Probabilistic Techniques,Collect and Analyze Information",High,Low,Medium,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
224,Fingerprinting,Software,Collect and Analyze Information,High,Very Low,Medium,Read Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
